slug,priority,index_goal,status,seo_intent,page_role,primary_decision_question,unique_angle,primary_mechanic,secondary_mechanic,excluded_mechanics,keep_sections,cut_sections,block_1_type,block_1_topic,block_1_words,block_1_placement,block_2_type,block_2_topic,block_2_words,block_2_placement,existing_word_estimate,new_words_total,total_target_words,cta_primary_text,cta_secondary_text,cta_microcopy,contact_route,template_override,override_elements,override_notes,faq_theme,faq_unique_q_count,block_1_content,block_2_content
/,A,must_index,todo,mixed,hub,Ist Sanper der richtige Partner?,Verantwortung aus einer Hand,trust_depth,service_advance,price_anchor,"Hero, Grid",Redundanter Trust,decision,Sanper ≠ Händler (Verantwortung),140,after_intro,risk,Typische Fehlentscheidungen,100,before_trust,300,240,540,Beratung starten,Kostenloses Angebot,Persönlich & unverbindlich,appointment,TRUE,"bottom_cta,trust_block",Trust kürzen,allgemein,5,"Sanper ist kein Anbieter für Standardlösungen. Wir arbeiten für Menschen, die ihren Außenbereich langfristig nutzen wollen und deshalb mehr brauchen als ein Produkt von der Stange. Der entscheidende Unterschied liegt in der Verantwortung: Planung, Fertigung und Montage müssen zusammenpassen. Bei Sanper sind Maße, Statik, Material und Befestigung vorab abgestimmt – nicht erst auf der Baustelle. Diese Seite hilft Ihnen zu prüfen, ob ein individuell geplantes System für Ihr Projekt sinnvoll ist, bevor Sie Angebote vergleichen.","Viele Probleme entstehen nach dem Kauf: unklare Zuständigkeiten, Verzögerungen, fehlende Ersatzteile oder Monteure ohne Systemkenntnis. Diese Risiken sind bei Outdoor-Systemen besonders relevant. Sanper reduziert sie durch klare Verantwortlichkeit, abgestimmte Prozesse und planbaren Service. Wenn Sie eine kurzfristige Lösung suchen, gibt es einfachere Wege. Wenn Sie Wert auf Haltbarkeit und Sicherheit legen, sind Sie hier richtig."
/pergola-systeme,A,must_index,todo,commercial,decision,System oder Einzelprodukt?,Systemlogik,investment_guarantee,authority_frame,discounts,"Intro, Grid",Wiederholungen,decision,System vs Produkt,140,after_intro,risk,Erweiterbarkeit,100,before_faq,280,240,520,System prüfen,—,Klare Empfehlung,appointment,TRUE,trust_block,Trust kürzen,system,5,"Ein Pergola-System ist keine Einzelanschaffung, sondern eine Entscheidung über Nutzung, Erweiterbarkeit und Lebensdauer. Entscheidend ist, ob Dach, Entwässerung, Beschattung und Steuerung als Einheit gedacht sind. Systeme, die von Anfang an modular geplant werden, lassen sich an neue Anforderungen anpassen, ohne neu bauen zu müssen. Diese Seite hilft zu klären, ob ein durchgängiges System für Ihre Nutzung sinnvoller ist als eine einzelne Lösung.","Risiken entstehen, wenn Komponenten nicht zusammenpassen: spätere Nachrüstungen, Undichtigkeiten oder eingeschränkte Erweiterungen. Wer das Systemdenken ignoriert, zahlt langfristig doppelt. Eine frühe Systementscheidung verhindert diese Folgekosten."
/pergola-systeme/bioklimatisch,A,must_index,todo,commercial,decision,Brauche ich bioklimatisch?,Klima & Nutzung,authority_frame,investment_guarantee,discounts,"Intro, Features",Allgemeine Claims,decision,Wann sinnvoll / wann nicht,140,after_intro,risk,Steuerung & Hitze,100,before_faq,300,240,540,Beratung prüfen,—,Technik-Check,appointment,TRUE,bottom_cta,CTA spezifisch,klima,5,"Bioklimatische Systeme sind sinnvoll, wenn Hitze, Luftstau und wechselnde Wetterbedingungen die Nutzung einschränken. Die verstellbaren Lamellen regulieren Licht und Luft aktiv und schaffen ein nutzbares Mikroklima. Diese Lösung ist nicht für reine Beschattung gedacht, sondern für Flächen, die regelmäßig genutzt werden.","Risiken entstehen durch falsche Erwartungen an Steuerung und Automatik. Ohne korrekte Auslegung kann Hitze bleiben oder Regen nicht sauber abgeführt werden."
/pergola-systeme/lamellendach,A,must_index,todo,commercial,comparison,Lamellen vs Alternativen?,Nutzungssteuerung,rationalization,trust_depth,discounts,Intro,Duplikate,comparison,Lamellen vs Glas/Stoff,140,after_features,risk,Regen & Licht,80,before_faq,260,220,480,Lösung vergleichen,—,Vergleich starten,appointment,FALSE,—,—,vergleich,5,"Ein Lamellendach bietet Kontrolle über Licht, Luft und Regen. Im Vergleich zu Glas oder Stoff steht hier die flexible Nutzung im Vordergrund. Diese Seite hilft, die Lösung anhand des tatsächlichen Nutzungsverhaltens zu bewerten – nicht anhand von Optik allein.","Grenzen bestehen bei maximaler Lichtdurchlässigkeit oder vollständiger Abdichtung. Wer Wintergarten-Eigenschaften erwartet, wählt die falsche Lösung."
/pergola-systeme/aluminium,A,must_index,todo,commercial,decision,Welches Material?,Pflege & Haltbarkeit,authority_frame,rationalization,discounts,Intro,Feature-Dupl.,decision,Alu vs Holz/Stahl,140,after_intro,risk,Korrosion & Pflege,80,before_faq,260,220,480,Material bewerten,—,Materialwahl,appointment,FALSE,—,—,material,5,"Aluminium eignet sich für Systeme, die formstabil, wartungsarm und langlebig sein sollen. Im Vergleich zu Holz oder Stahl verändert es sich kaum und benötigt keine regelmäßige Pflege. Diese Seite hilft bei der Materialentscheidung anhand von Nutzung und Wartungsaufwand.","Risiken liegen in falschen Materialstärken oder minderwertigen Profilen. Nicht jedes Aluminium erfüllt die gleichen Anforderungen."
/pergola-systeme/freistehend,A,must_index,todo,commercial,risk,Ist freistehend machbar?,Statik,risk_reduction,service_advance,discounts,Intro,Allgemeines,decision,Wann freistehend nötig,140,after_intro,risk,Statik & Genehmigung,120,before_cta,280,260,540,Machbarkeit klären,—,Vorprüfung,callback,TRUE,bottom_cta,CTA ändern,statik,5,"Freistehende Pergolen ermöglichen maximale Freiheit bei der Platzierung, etwa bei Pool- oder Gartenbereichen. Voraussetzung ist eine saubere statische Planung. Diese Seite hilft zu klären, wann freistehend technisch sinnvoll ist.","Häufige Risiken sind fehlende Fundamente oder unterschätzte Windlasten. Ohne Prüfung drohen spätere Schäden oder Genehmigungsprobleme."
/pergola-systeme/terrasse,B,must_index,todo,commercial,decision,Passt es ans Haus?,Anschlussdetails,rationalization,trust_depth,discounts,Intro,Wiederholungen,decision,Hausanschluss,140,after_intro,risk,Abdichtung,80,before_faq,260,220,480,Beratung anfragen,—,Anschluss prüfen,appointment,FALSE,—,—,anbau,5,"Terrassenlösungen müssen an Gebäudeanschlüsse, Gefälle und Abdichtung angepasst werden. Diese Seite hilft zu prüfen, wie eine Pergola sinnvoll an das Haus angebunden wird, ohne Bausubstanz zu gefährden.","Risiken entstehen durch falsche Befestigung oder mangelhafte Abdichtung. Das zeigt sich oft erst nach Monaten."
/pergola-systeme/wintergarten-kombination,B,must_index,todo,mixed,decision,Pergola + Glas sinnvoll?,Hybridgrenzen,rationalization,authority_frame,discounts,Intro,Allgemeines,decision,Hybrid sinnvoll?,140,after_intro,risk,Kondensat,80,before_faq,260,220,480,Projekt prüfen,—,Hybrid-Check,appointment,FALSE,—,—,hybrid,5,"Die Kombination aus Pergola und Glas kann sinnvoll sein, wenn flexible Nutzung gewünscht ist. Entscheidend ist die klare Abgrenzung zwischen offenem und geschlossenem Bereich.","Risiken liegen in Kondensatbildung und falscher Belüftung, wenn Nutzung und Konstruktion nicht zusammenpassen."
/pergola-systeme/montage,A,must_index,todo,informational,service,Wie läuft Montage ab?,Eigene Teams,authority_frame,trust_depth,discounts,Intro,Marketing,process,Ablauf & Dauer,160,after_intro,risk,Baustelle,80,before_cta,260,240,500,Ablauf klären,—,Sicher & sauber,callback,FALSE,—,—,montage,5,"Eine saubere Montage entscheidet über Funktion und Lebensdauer. Diese Seite erklärt den Ablauf von Vorbereitung bis Einweisung und schafft Transparenz über Dauer und Koordination.","Risiken entstehen durch Fremdmonteure oder fehlende Systemkenntnis. Das führt zu Nacharbeiten und Verzögerungen."
/pergola-systeme/preise,A,must_index,todo,commercial,expectation,Was kostet realistisch?,Preisfaktoren,rationalization,service_advance,discounts,Intro,Pauschalen,decision,Preisfaktoren,160,after_intro,risk,Budgetfallen,100,before_cta,260,260,520,Angebot anfordern,—,Transparent,form,TRUE,bottom_cta,CTA ändern,preis,5,"Preise ergeben sich aus Maßen, Technik, Montage und Zubehör. Diese Seite erklärt, welche Faktoren den Preis beeinflussen, damit Angebote vergleichbar werden.","Risiken bestehen bei Pauschalpreisen ohne Leistungsabgrenzung. Nachträge sind dann vorprogrammiert."
